textID,text,selected_text,sentiment
f516755b5a, Poor you. I`m off on Bank Holiday Monday today too,Poor,negative
8aee74193f,: Chillin` at home-watching a movie on tv & making some 'healthified' streusel coffee cake.,Chillin` at home-watching a movie on tv & making some 'healthified' streusel coffee cake.,neutral
6ea90f90d9, Thanks  New work will arrive in a few weeks,Thanks,positive
8492b60a69,Me hice una maruchan,Me hice una maruchan,neutral
0e5230af2d, hey guys it`s leann. . i dont know if you remember me but i just wanted to say that i`m very excited to see you guys go far,excited,positive
577bd1ade6,going to the beach today,going to the beach today,neutral
c489f325a3,Just paid my bills now I have no money,Just paid my bills now I have no money,negative
90b3033569,http://twitpic.com/4jfkw - AFC! Oh yess,Oh yess,positive
5498e0a2fe, how is your coding going?,how is your coding going?,neutral
d7acbba9aa," no I won`t honey I got mad yrs to go , why am I crazy?",mad,negative
44f7d98e16,aaahhh...just woke up! feels good to sleep in on a monday!!!,good,positive
e52ac5fbf6,I hope my mom enjoys her Mother`s Day gift,enjoys,positive
8630921b7f,"jus woke up, late  runnin to work have students to train!","jus woke up, late  runnin to work have students to train!",neutral
713aae7489,i hate not being able to twitterize on my cell phone  oh well,i hate,negative
5bf9b58591," carls jr sounds hella good, you should bring me some  http://myloc.me/G3o","hella good,",positive
b9235c5869, ommg gurll why aren`t u going how sad,sad,negative
cc718e4767,I think you are super cute...,cute..,positive
b467bdd9ca,Damnation. I just woke up.,Damnation. I just woke up.,neutral
1693bb37e4,I don`t know how to quit you-brokeback mountain,I don`t know how to quit you-b,negative
c5a896d283,_**** I do!  I`ll probably get fired if I do though,I do!  I`ll probably get fired if I do though,neutral
9d300f0f9a,just got home. went to totoro cafe (finally) for the first time ever. i liked it! what a colorful place. such a happy atmosphere,i liked it! what a colorful place. such a happy atmosphere,positive
49038089d9," idk lol my head hurts. rly bad. & so does my stomach... hmm... personally, i think its from all the #s ive had 2 deal wit","idk lol my head hurts. rly bad. & so does my stomach... hmm... personally, i think its from all the #s ive had 2 deal wit",negative
cea5677a2b, thnx babe  just call me when u finish it....,thnx,positive
f9483e7dc1,Sometimes the things you say hurt the ones you love most unintentionally.  And you can never ever take it back or fix it.,hurt,negative
34e9fd7d68,im seeing the hannah montana movie again today,im seeing the hannah montana movie again today,neutral
a0e9dc9475,Seeing people today made me realize I really miss someone. But I also miss my grandpa he`s been gone 17 years  oh! but my moms mamagra ...,miss my,negative
2d059a6bc6, SCREAAAAAAAAAAAAAAAAAAAAAAAAAAAAAM - never freu you zu frï¿½h,SCREAAAAAAAAAAAAAAAAAAAAAAAAAAAAAM,neutral
136ccb49bf, nope  i`m bored and hungry.,m bored,negative
b3ac5238d1, I hope you like your new sat nav,hope,positive
40d58ffeb3, tx me i have a new fone and i dont have anyones numbers,tx me i have a new fone and i dont have anyones numbers,neutral
87d43edc49,About to clean my room,About to clean my room,neutral
1ecb8b0f6a," thank you, your dedication as a lamb is unparalleled also, all true lambs dedication is unparalleled","thank you,",positive
6adf265914, wish  was coming too  I guess we can make time for you though if we have to ;),wish,positive
909e655fb6,"Big Laptop is too big, so it`s time to switch to the Eee.  Bye big guy","Big Laptop is too big,",positive
9dcbb09bf6, my your rather random.,my your rather random.,neutral
0bb6ecf377,_morley LOL I love your kids,I love yo,positive
a46215b22d,Good Morning Everyone,Good,positive
f271a3af59,"Choir assembly was bad  it`s **** hot, yay!",bad,negative
14662f5bae,"Bummer... Might not make it to the sunday show, hopefully some sun will shine on this cloudy day","Bummer... Might not make it to the sunday show, hopefully some sun will shine on this cloudy day",neutral
246a76f214,cant fall asleep,cant fall asleep,neutral
f75ab644ab,i`m lonely.  i need some hug.,i`m lonely.  i need some hug.,negative
d7ca81be0a,"the muscle in my back is cramping up, hurts so bad! owww",hurts so bad!,negative
bc3595417d,"i burned my tongue!  @ workkkkkkkkkkkkkkkkk,",burned,negative
c8daeb34e8,Im eating a salad  and rember to comment my new myspace pictures plz?,Im eating a salad  and rember to comment my new myspace pictures plz?,neutral
fc615ed7d8, two. Just going to visit someone,two. Just going to visit someone,neutral
21772a3cfb, Why I aint on ur #FF list? im hurt,hurt,negative
2f141f461c,i thought it was already winter. turns out winter has even started,i thought it was already winter. turns out winter has even started,neutral
75838bf985, yayy! i cant wait to see them!,yayy! i cant wait to see them!,neutral
13443d3ba1,Yay! Power = on! Phone = charged. It`s hot,Yay! Power = on! Phone = charged. It`s hot,neutral
e6a189a220," omg! is it mine? omg that`s so gross, I`m so sorry! I TOTALLY forgot about it until JUST now!","omg! is it mine? omg that`s so gross, I`m so sorry! I TOTALLY forgot about it until JUST now!",negative
4586fd9cb0,"Oh, and before that last tweet i spent about half an hour on brushing my teeth with my new electric toothbrush! I feel great",great,positive
768be03583, that frenchfry-corndog looks so delish! I WANT!!  Welcome back to Seattle!,Welcome,positive
00d1247c62," ur welcome sweetie . Anytime . I need to find a way to get more followers , I don`t have many",ur welcome sweetie,positive
cdfe77d1e4,a bacon roll and a tea and the (hack)day is your friend  #openhacklondon,a bacon roll and a tea and the (hack)day is your friend  #openhacklondon,neutral
a8bdb22729, people are pathetic  how do u know some one is trying?,pathetic,negative
2945bac2be," It`s a program that shows all Twitter and Facebook status updates all in one.. it`s alright, but yeah probably won`t use it often","It`s a program that shows all Twitter and Facebook status updates all in one.. it`s alright, but yeah probably won`t use it often",neutral
fd0a96e573, Thanks! That will be you in October,Thanks!,positive
